id,sign,title,summary,intro,introQuote,detail,thumbnail
11,Sign 11,Vehicle-to-Grid Cities,Electric vehicles as distributed urban energy storage and supply systems,"""This Dutch city wants to turn electric vehicles into the city's 'mobile power source'...""",Robin Berg explains the project that combines two major trends: renewable energy proliferation and electric vehicle adoption.,"The convergence of electric vehicle adoption and renewable energy expansion creates unprecedented opportunities for urban energy management. The Dutch ""We Drive Solar"" project pioneered vehicle-to-grid (V2G) systems that treat EV batteries as distributed energy storage, absorbing excess solar and wind power when available, then feeding electricity back to the grid during peak demand or renewable generation gaps. This bidirectional flow transforms vehicles from pure consumers to active participants in urban energy systems, enhancing grid stability while providing economic benefits to vehicle owners. The model requires coordinated planning across transportation, energy, and urban design sectors - exactly the kind of systems integration that cities increasingly need. It also shifts the economics of EV ownership, as vehicles generate revenue through grid services, and urban planning, as parking infrastructure becomes energy infrastructure. The trend accelerates the transition to renewable energy by solving the intermittency challenge without massive stationary battery installations. It represents a broader pattern in smart cities: leveraging distributed resources and digital coordination to create resilient, efficient systems from assets that already exist for other purposes.",v2g_city.jpg
12,Sign 12,Alternative Water Sources,Extracting water from unexpected urban and agricultural sources,"""Tomatoes and grapes have become new 'water sources'...""","An Australian company is bringing a different kind of 'water source' to California: ""Simply put, we 'grow' water.""","Water scarcity affects growing numbers of cities globally, driven by climate change, population growth, and aquifer depletion. Traditional responses focus on conservation and efficiency, but innovative companies are exploring radical alternatives. Australian firm Botanical Water Technologies developed processes to extract water from agricultural waste - specifically tomatoes and grapes that don't meet cosmetic standards for sale. Their system extracts pure water from produce that would otherwise be discarded, creating a new water source while reducing food waste. This approach exemplifies broader trends toward circular economy thinking in urban resource management: treating waste as feedstock, creating closed-loop systems, and finding value in materials previously considered worthless. It challenges conventional water infrastructure planning that assumes supply must come from rivers, reservoirs, or desalination. As climate change makes traditional sources less reliable, cities are exploring diverse alternatives including atmospheric water generation, wastewater reuse, and now agricultural byproducts. These innovations don't replace conventional sources but create more resilient systems through diversification. They also highlight interconnections between food, water, and urban systems that planning has historically treated separately.",alt_water.jpg
13,Sign 13,Intergenerational Fusion,Mixed-age communities designed to support interaction across generations,"""Kampung Admiralty is Singapore's first cross-generational mixed-use complex...""","The project integrates senior housing, childcare, medical facilities, and public spaces in a single vertical community.","Demographic trends present cities with dual challenges: aging populations requiring expanded care infrastructure, and social fragmentation that isolates both elderly and young. Intergenerational housing represents an integrated response, designing communities specifically to facilitate interaction and mutual support across age groups. Singapore's Kampung Admiralty pioneered this approach at scale, vertically stacking senior housing, childcare facilities, medical services, retail, and community spaces within a single complex. The design creates natural intersection points where different generations encounter each other daily, building relationships that benefit all. Elderly residents gain purpose through mentoring relationships with children, combating isolation and depression. Young families access affordable childcare and eldercare in close proximity. The community becomes more resilient as residents support each other informally. This model challenges age-segregated development patterns that have dominated recent decades, treating different life stages as requiring separation rather than integration. It also addresses urban land scarcity by efficiently combining functions in vertical mixed-use structures. As populations age globally and nuclear families become less common, intergenerational design offers a path toward more supportive, sustainable urban communities.",intergenerational.jpg
14,Sign 14,Metaverse Marketplaces,Virtual second-hand markets creating new social and commercial spaces,"""Around is a metaverse second-hand market providing delightful pre-owned shopping experiences...""",Designer Jeong-in Lee envisions it as a new social space that transcends traditional markets.,"The metaverse is evolving beyond gaming and entertainment into commercial and social infrastructure. Designer Jeong-in Lee's ""Around"" project reimagines second-hand commerce in virtual space, creating immersive experiences that make sustainable shopping engaging and social. Unlike conventional e-commerce platforms that reduce shopping to transactional interfaces, metaverse marketplaces offer spatial exploration, serendipitous discovery, and social interaction similar to physical markets but without geographic constraints. This model addresses multiple urban challenges: reducing material consumption and waste through circular economy enablement; creating community spaces accessible to people with mobility constraints; and demonstrating economic models for metaverse environments beyond speculation and gaming. It also represents generational shifts in how people socialize and shop, with younger cohorts comfortable mixing digital and physical experiences. For cities, metaverse development raises new questions about governance, economics, and the relationship between virtual and physical space. Will vibrant virtual markets reduce demand for physical retail space? How do cities capture economic value from digital activity? As the boundary between physical and digital urban life blurs, planners must develop frameworks addressing both realms.",metaverse_market.jpg
15,Sign 15,Renewable Street Furniture,Public infrastructure that generates its own power through integrated renewables,"""Carbon neutrality, new energy public facilities, light pollution control...""",Designer Tobias Trübenbacher developed the Papilio streetlight with integrated wind turbines that generate power through wind energy.,"Cities contain vast quantities of public infrastructure - streetlights, bus shelters, signage, traffic signals - that collectively consume enormous energy while occupying valuable urban space. Forward-thinking designers are reimagining these elements as distributed renewable energy generators and smart city nodes. The Papilio streetlight exemplifies this approach, integrating small wind turbines that generate power for illumination, eliminating grid dependence while creating distinctive urban landmarks. Similar innovations include solar-powered bus shelters with integrated information displays, kinetic pavement generating power from footsteps, and smart benches with charging stations powered by integrated photovoltaics. This trend represents a shift from viewing public infrastructure as pure cost and maintenance burden to seeing it as opportunity for energy generation, data collection, and urban amenity provision. It also addresses light pollution through smarter controls that adjust brightness based on actual need. As cities pursue carbon neutrality and smart city strategies, multifunctional infrastructure that combines services, generates energy, and improves urban quality becomes increasingly attractive. The approach reduces infrastructure costs over lifecycle while contributing to sustainability goals and creating more responsive, adaptable urban environments.",renewable_street.jpg
16,Sign 16,Structural Energy Storage,Building materials that double as batteries for renewable energy storage,"""Concrete buildings transformed into large rechargeable batteries...""",Scientists at Chalmers University of Technology are developing sustainable building materials with integrated energy storage capabilities.,"Energy storage represents one of the greatest barriers to renewable energy transition, with conventional battery production carrying significant environmental costs and spatial requirements. Researchers at Chalmers University are pioneering revolutionary building materials that store electrical energy within their structure, effectively turning entire buildings into batteries. Their concrete composite incorporates carbon fiber mesh that acts as electrodes within the material itself, storing energy chemically within the building structure. This innovation could transform how cities manage renewable energy: buildings absorb excess solar and wind power when available, then release it during high-demand periods, functioning as distributed grid batteries without requiring separate storage facilities. The technology remains early-stage, with current prototypes storing modest amounts compared to conventional batteries, but the potential is enormous. A single large building could store megawatt-hours of energy, providing grid stabilization services while offsetting its own energy consumption. This represents a broader trend toward multifunctional building systems where every component serves multiple purposes - structure, energy storage, thermal management, data transmission - rather than single-function specialization. It challenges both material science and architecture to reimagine buildings as active participants in urban energy systems.",structural_battery.jpg
17,Sign 17,Inclusive Streets,Designing urban streets to accommodate all abilities and mobility types,"""Accessible Streets Studio...""","The Accessible Streets Studio, launched by Michigan Central Station and Newlab in 2020, pioneers inclusive urban design methodologies.","Urban streets have historically been designed primarily for able-bodied adults, creating barriers for people with disabilities, elderly residents, parents with strollers, and others with mobility limitations. The Accessible Streets Studio represents a paradigm shift toward universal design that considers the full spectrum of human ability from the outset. Their methodology involves deep engagement with disability communities, advanced sensing and mapping technologies to identify barriers, and iterative design processes that test solutions with diverse users. The work extends beyond ADA compliance - which sets minimum standards - to envision streets that actively enable independence, dignity, and full participation for everyone. This includes considerations like crossing times adequate for slower walkers, clear wayfinding for people with cognitive differences, multisensory signals for those with vision or hearing impairments, and smooth surfaces for wheeled mobility devices. The approach challenges the assumption that accessibility is a niche concern rather than a benefit for everyone - parents, delivery workers, travelers with luggage, and temporarily injured people all benefit from accessible design. As populations age and societies increasingly value inclusion, accessible street design is becoming standard practice rather than exceptional accommodation.",inclusive_streets.jpg
18,Sign 18,Climate Refugee Infrastructure,Community-led projects building infrastructure to support climate-displaced populations,"""Mutual aid organizations are building pipelines to help the new generation of climate refugees...""","Kali Akuno acquired about 50 vacant properties in Mississippi through Cooperation Jackson, converting them to support climate migrants.","Climate change is creating unprecedented population displacement, with projections suggesting hundreds of millions of people will migrate due to sea level rise, drought, extreme weather, and resource conflicts over coming decades. While governments struggle with policy frameworks, grassroots organizations are building practical infrastructure to support climate migrants. Cooperation Jackson's work in Mississippi exemplifies this approach: acquiring vacant urban properties and converting them into affordable housing, urban farms, and cooperative enterprises specifically designed to welcome climate refugees while building community resilience. This model challenges conventional disaster response and migration management by placing agency with communities rather than centralized authorities. It also integrates climate adaptation with social justice, recognizing that displacement disproportionately affects vulnerable populations. The mutual aid approach builds on historical traditions of community self-organization while incorporating modern cooperative economics and sustainable design. As climate impacts accelerate, such models offer alternatives to militarized borders and detention facilities, instead creating welcome infrastructure that benefits both newcomers and existing residents through economic development and community building.",climate_refugee.jpg
19,Sign 19,Regenerative Networks,Organizations supporting UN Sustainable Development Goals through community-led initiatives,"""The New Seed Society...""","The New Seed Society provides support for numerous UN Sustainable Development Goals including poverty elimination, quality education, decent work, inequality reduction, and sustainable communities.","The UN Sustainable Development Goals (SDGs) provide a comprehensive framework for addressing global challenges, but implementation often stalls at the gap between international policy and local action. Organizations like the New Seed Society bridge this gap by supporting community-led initiatives that advance multiple SDG targets simultaneously through integrated approaches. Rather than treating education, poverty, sustainability, and inequality as separate problems requiring separate solutions, they recognize these issues as interconnected and support holistic interventions. This might include urban farming projects that provide food security, job training, community gathering spaces, and environmental education simultaneously. The network model enables knowledge sharing and resource coordination across communities facing similar challenges, accelerating innovation diffusion. This approach challenges top-down development paradigms that imposed universal solutions regardless of local context, instead enabling communities to design interventions appropriate to their specific situations while connecting them to global resources and movements. As cities increasingly become sites of SDG implementation - often more committed than national governments - such networks provide crucial infrastructure for translating ambitious goals into tangible local improvements.",regenerative_network.jpg
20,Sign 20,Symbiotic Urbanism,Integrating living biological systems into urban infrastructure and architecture,"""Dynamic creatures...""","Before artificial structures consume the last wilderness, a new movement explores how cities and nature can coexist and enhance each other.","Contemporary urbanism largely treats nature and built environment as oppositional - cities expand at nature's expense, while conservation requires protecting areas from development. Symbiotic urbanism challenges this dichotomy, exploring how cities can integrate living biological systems as functional infrastructure rather than mere decoration. This includes building facades that support pollinator habitats; constructed wetlands providing water treatment; urban forests managing stormwater and heat; mycelium-based materials that grow into structural components; and bio-integrated systems where microorganisms, plants, and animals perform services like waste processing, air purification, and climate control. The approach requires radically different design thinking: architects become ecosystem designers; buildings have lifecycles more like organisms than static structures; maintenance involves ecological management rather than just repairs. Projects like bio-reactive facades that change color based on air quality, or structures built from living trees trained into desired forms, demonstrate possibilities. This movement reflects growing recognition that rigid separation between nature and city is neither sustainable nor desirable - cities must function as ecosystems, and healthy ecosystems must include human activity. It also addresses urban heat islands, biodiversity loss, resource scarcity, and disconnection from nature that affects human mental health.",symbiotic_urban.jpg
21,Sign 21,Mottainai Space,Surplus space in the city,Getting the most of cities across generational lines,Cities will become places where amenity and convenlence are merged for city dwellers.,"Expansion in maintenance and management costs due to the aging of facilities and difficulties of flexible space usage under legal regulations are cited as issues for urban public facilities where existing resources are expected to be used effectively. When we consider the cities of the future, it is necessary to utilize limited space as efficiently as possible, and it is anticipated that many public facilities will be designed with a view to possible future operation parameters (demographic trends) and the usage of facilities will be on a multi-functional basis wherever possible. On the other hand, the present status on the side of the government Is that they cannot handle the situation flexibly due to organizational issues caused by vertically-segmented administrative systems in addition to legal regulations. Therefore, as a measure to respond to the need for amenity as well as convenlence and efficiency where population decline and the aging of society are accelerating, there is great expectation for the recycling of public assets using asset management know-how accumulated within the private sector through utilization of public and private partnerships (PPP).",mottainai-space.jpg
22,Sign 22,Future Literacy Exhibitions,Museums and institutions creating exhibitions that explore urban futures and technology,"""Tokyo's Mori Art Museum has an exhibition about the future and technology...""","The temporary exhibition ""Future and Art: AI, Robotics, Cities, Life - How Will Humans Live Tomorrow"" showcases over 100 projects demonstrating potential futures.","Museums traditionally preserve and interpret the past, but leading institutions are increasingly creating exhibitions and programming focused on futures - not predictions, but explorations of possibilities, implications, and choices. The Mori Art Museum's ""Future and Art"" exhibition exemplified this trend, showcasing over 100 projects exploring how artificial intelligence, robotics, urban design, and emerging technologies might reshape human life. Such exhibitions serve multiple functions: they make abstract futures tangible through immersive experiences; they democratize futures thinking by engaging public audiences; they create spaces for dialogue about technological and social change; and they challenge present assumptions by presenting alternatives. This represents a broader ""futures literacy"" movement recognizing that capacity to imagine and navigate multiple possible futures has become essential for citizenship and leadership. Museums are uniquely positioned to foster this literacy: they're trusted neutral spaces; they excel at communication and interpretation; they convene diverse publics; and they connect present and future to historical context. As technological change accelerates and societies face unprecedented challenges from climate change to AI, institutions building future literacy capacity play crucial roles in democratic deliberation about the paths we choose.",future_exhibition.jpg
23,Sign 23,Sustainable Design Industry,Major design and furniture industries pivoting toward sustainability as core focus,"""The world's largest furniture fair will focus on sustainability themes this year...""","Milan's Salone del Mobile, the world's largest furniture exhibition, announced that this year's show will focus heavily on sustainable design.","Design and manufacturing industries face mounting pressure to address environmental impacts, driven by regulation, consumer demand, and genuine recognition of crisis urgency. Major industry events like Milan's Salone del Mobile - the most influential furniture fair globally - dedicating their programming to sustainability signals a fundamental industry transformation. This goes beyond individual companies making sustainable products to reconsidering entire industry paradigms: material sourcing and lifecycle impacts; production processes and energy use; product durability and repairability versus planned obsolescence; circular economy models enabling reuse and recycling; and aesthetic values that celebrate longevity over constant novelty. The furniture industry exemplifies challenges facing design sectors broadly: deeply embedded in global supply chains with complex environmental footprints; driven by fashion dynamics encouraging frequent replacement; dominated by price competition that often externalizes environmental costs. Sustainability transitions require coordinated action across supply chains, making industry-wide events crucial for establishing new standards and sharing innovations. The shift also reflects changing consumer values, particularly among younger generations who increasingly evaluate purchases through sustainability lenses. As major industries transform, they drive upstream changes in material science, manufacturing technology, and business models with ripple effects throughout economies.",sustainable_design.jpg
24,Sign 24,Circular Fashion Networks,Urban resale platforms expanding to build circular economy infrastructure,"""Duozhuayu second-hand clothing recycling service expands to multiple cities...""","China's Duozhuayu (literally ""Catch More Fish"") announced expansion of clothing resale services to Beijing, Guangzhou, Shenzhen, and all Jiangsu-Zhejiang-Shanghai cities.","Fashion represents one of the most environmentally destructive industries, generating massive waste, water pollution, carbon emissions, and exploitative labor conditions. The rise of fast fashion accelerated these impacts while creating clothing gluts in developed economies. Circular fashion models offer alternatives by extending garment lifespans through resale, repair, and recycling. Companies like Duozhuayu build urban infrastructure making circular fashion convenient: reverse logistics collecting used clothing; sorting and quality assessment facilities; online platforms connecting sellers and buyers; and community spaces for exchanges. Their expansion across major Chinese cities signals mainstreaming of secondhand consumption, particularly among younger generations increasingly rejecting fast fashion's social and environmental costs. The model benefits cities by reducing waste sent to landfills, creating local jobs in sorting and refurbishment, and providing affordable clothing access. It also enables new forms of community building around sustainable consumption values. As circular economy principles gain traction, fashion represents a crucial test case: it's a massive industry with severe impacts, but also one where consumers directly choose whether to participate in circular versus linear models. Urban resale networks make sustainable choices convenient, demonstrating that environmental solutions often require infrastructure and system design rather than just individual virtue.",circular_fashion.jpg
25,Sign 25,Energy Infrastructure Transition,Reimagining gas stations and fossil fuel infrastructure for clean energy futures,"""When electric vehicles replace fuel vehicles, what will gas stations become?""",Design firm Surbana Jurong proposes five creative transformations for gas station spaces as electric vehicles eliminate their original function.,"The transition from internal combustion to electric vehicles will leave behind vast fossil fuel infrastructure - gas stations, refineries, pipelines - that must be decommissioned or repurposed. Gas stations are particularly interesting as they occupy thousands of valuable urban sites, typically with good transportation access but contaminated soil and obsolete buildings. Rather than abandoning these sites, design firms like Surbana Jurong envision transformative reuse: repair workshops for EVs and e-bikes; package distribution micro-hubs capitalizing on location and traffic flow; covered markets or food halls serving neighborhoods; small parks or green spaces addressing urban nature deficits; or fast-charging stations with extensive amenities for the longer dwell times EV charging requires compared to gas refueling. This infrastructural transition exemplifies broader urban adaptation challenges: cities have accumulated physical infrastructure supporting particular technologies and behaviors that must evolve as societies change. The same questions apply to parking structures in autonomous vehicle futures, or office buildings if remote work dominates. Successful cities will view obsolete infrastructure as opportunity rather than liability, creatively repurposing assets to meet emerging needs while preserving embodied energy and materials. This requires flexible zoning, creative financing, and willingness to reimagine familiar urban elements.",station_transform.jpg
26,Sign 26,Civic Mining,Rediscovery and utilization technology for urban resources,I throw away nothing as I just "renew" things,With the further promotion of recycling we feel that everything can be recycled.,"The government has started to lay out a framework to secure overseas mineral resources. Overseas mineral resources can be secured only when the mining, development and foregn diplomacy activities related to resources are promoted through cooperation between the government and the public. In terms of funding the government is utilizing ODA (official development assistance) organically, systematically and seamlessly to actively provide support for the overseas activitles of compantes. In terms of education, the government is also publically seeking primary, junior high and high schools that actively work on education projects related to resources, energy and the environment and they provide teaching materials, data and information to selected schools. This activity forms the background for advancement of environmental education and recycling technology and the promotion of development of products with high recyclability and blodegradability; however, on the other hand, it cannot be denied that extreme competition over resources will occur on a global scale. Therefore, it Is expected that improvement in the self-sufficlency ratlo of resources and energy and expansion in the range of products using a domestic circulation flow will be even greater in the future.",civic-mining.jpg
27,Sign 27,Virtual Architecture Communities,Design communities creating built environments in metaverse platforms,"""Architecture by Artists in the metaverse for The Row...""","Designers created numerous architectural works for the metaverse community The Row, pioneering virtual urban design practices.","Architecture has always existed partly in imagination - through drawings, models, and renderings that precede physical construction. The metaverse makes virtual architecture fully experiential, enabling people to inhabit designed spaces without physical construction. Communities like The Row commission architects to create virtual buildings, neighborhoods, and cities where people gather, work, and socialize. This isn't merely digital visualization of intended physical buildings, but architecture designed specifically for virtual experience, freed from physical constraints like gravity, material properties, and construction costs. Designers explore impossible geometries, spaces that reconfigure based on use, and environments that blend multiple locations or time periods. The practice challenges fundamental architectural concepts: What is architecture without physical presence? How do design principles developed for material structures apply to virtual space? Some architects view metaverse work as pure speculation or entertainment; others see it as the future of practice as increasing activity shifts online. For cities, virtual architecture raises complex questions about governance, property rights, and the relationship between digital and physical development. Will vibrant virtual districts reduce demand for physical space? Should planning departments regulate virtual development? As spatial computing and augmented reality advance, the boundary between physical and virtual architecture will continue blurring.",virtual_architecture.jpg
28,Sign 28,Beyond Green,Diversification of environmental values among people,We are already aware that there is no justice in environmental countermeasures,We feel that the arguments for reducing the environmental burden that focus solely on reducing carbon are coming apart at the seams.,"Due to governmental measures to reduce the cost of solar power generation and promote next generation automobiles, next generation energy sources will penetrate widely into people's everyday lives through demonstrational experiments and institutional reforms. Furthermore, consumer behavior is changing from ownership to usage through expansion of the car sharing market, etc., and people are starting to choose life styles with a lower environmental burden according to varlous senses of value such as convenlence and personal principles. This sort of sense of value will become more diverse with the coming of a new generation. People that reach the age of twenty in 2025 will be of the environment native generation, who have experlenced power conservation on a large scale during their formative years, received environmental education and are thoroughly aware of the mechanism to reduce the environmental burden. The range in the sense of values regarding the reduction of the environmental burden based on differences in knowledge, generation and regional location will become wider. Moreover, environment natives who have a high degree of literacy when it comes to environmental measures will seek justice and transparency in the usage of environmental measures. If the eco-point system has failed in calculating CO2 emission reduction, it will result in a loss of empathy for the social system.",beyond-green.jpg
